Category,City,Country/Region,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State/Province,Sub-Category,Discount,Profit,Quantity,Sales
Office Supplies,Houston,United States,Darren Powers,Message Book,03/01/2020,US-2020-103800,77095,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Central,Consumer,07/01/2020,Standard Class,Texas,Paper,0.2,5.5512,2,16.448
Office Supplies,Naperville,United States,Phillina Ober,GBC,04/01/2020,US-2020-112326,60540,GBC Standard Plastic Binding Systems Combs,Central,Home Office,08/01/2020,Standard Class,Illinois,Binders,0.8,-5.487,2,3.54
Office Supplies,Naperville,United States,Phillina Ober,Avery,04/01/2020,US-2020-112326,60540,Avery 508,Central,Home Office,08/01/2020,Standard Class,Illinois,Labels,0.2,4.2717,3,11.784
Office Supplies,Naperville,United States,Phillina Ober,SAFCO,04/01/2020,US-2020-112326,60540,SAFCO Boltless Steel Shelving,Central,Home Office,08/01/2020,Standard Class,Illinois,Storage,0.2,-64.7748,3,272.736
Office Supplies,Philadelphia,United States,Mick Brown,Avery,05/01/2020,US-2020-141817,19143,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",East,Consumer,12/01/2020,Standard Class,Pennsylvania,Art,0.2,4.884,3,19.536
Furniture,Henderson,United States,Maria Etezadi,Global,06/01/2020,US-2020-167199,42420,Global Deluxe High-Back Manager's Chair,South,Home Office,10/01/2020,Standard Class,Kentucky,Chairs,0.0,746.4078,9,2573.82
Office Supplies,Henderson,United States,Maria Etezadi,Rogers,06/01/2020,US-2020-167199,42420,Rogers Handheld Barrel Pencil Sharpener,South,Home Office,10/01/2020,Standard Class,Kentucky,Art,0.0,1.4796,2,5.48
Office Supplies,Athens,United States,Jack O'Briant,Dixon,06/01/2020,US-2020-106054,30605,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",South,Corporate,07/01/2020,First Class,Georgia,Art,0.0,5.2398,3,12.78
Office Supplies,Henderson,United States,Maria Etezadi,Ibico,06/01/2020,US-2020-167199,42420,Ibico Hi-Tech Manual Binding System,South,Home Office,10/01/2020,Standard Class,Kentucky,Binders,0.0,274.491,2,609.98
Office Supplies,Henderson,United States,Maria Etezadi,Alliance,06/01/2020,US-2020-167199,42420,"Alliance Super-Size Bands, Assorted Sizes",South,Home Office,10/01/2020,Standard Class,Kentucky,Fasteners,0.0,0.3112,4,31.12
Office Supplies,Henderson,United States,Maria Etezadi,Southworth,06/01/2020,US-2020-167199,42420,Southworth 25% Cotton Granite Paper & Envelopes,South,Home Office,10/01/2020,Standard Class,Kentucky,Paper,0.0,3.0084,1,6.54
Office Supplies,Los Angeles,United States,Lycoris Saunders,Xerox,06/01/2020,US-2020-130813,90049,Xerox 225,West,Consumer,08/01/2020,Second Class,California,Paper,0.0,9.3312,3,19.44
Technology,Henderson,United States,Maria Etezadi,Other,06/01/2020,US-2020-167199,42420,Wireless Extenders zBoost YX545 SOHO Signal Booster,South,Home Office,10/01/2020,Standard Class,Kentucky,Phones,0.0,204.1092,4,755.96
Technology,Henderson,United States,Maria Etezadi,GE,06/01/2020,US-2020-167199,42420,GE 30524EE4,South,Home Office,10/01/2020,Standard Class,Kentucky,Phones,0.0,113.6742,2,391.98
Furniture,Huntsville,United States,Vivek Sundaresam,Howard Miller,07/01/2020,US-2020-105417,77340,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Central,Consumer,12/01/2020,Standard Class,Texas,Furnishings,0.6,-53.7096,3,76.728
Office Supplies,Huntsville,United States,Vivek Sundaresam,Acco,07/01/2020,US-2020-105417,77340,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Central,Consumer,12/01/2020,Standard Class,Texas,Binders,0.8,-18.2525,7,10.43
Office Supplies,Laredo,United States,Melanie Seite,Newell,09/01/2020,US-2020-135405,78041,Newell 312,Central,Consumer,13/01/2020,Standard Class,Texas,Art,0.2,1.168,2,9.344
Technology,Laredo,United States,Melanie Seite,Memorex,09/01/2020,US-2020-135405,78041,Memorex Micro Travel Drive 8 GB,Central,Consumer,13/01/2020,Standard Class,Texas,Accessories,0.2,9.75,3,31.2
Furniture,Springfield,United States,Anthony Jacobs,Howard Miller,10/01/2020,US-2020-149020,22153,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",South,Corporate,15/01/2020,Standard Class,Virginia,Furnishings,0.0,21.2954,1,51.94
Office Supplies,Springfield,United States,Anthony Jacobs,Avery,10/01/2020,US-2020-149020,22153,Avery 482,South,Corporate,15/01/2020,Standard Class,Virginia,Labels,0.0,1.3583,1,2.89
Furniture,Dover,United States,Seth Vernon,DAX,11/01/2020,US-2020-130092,19901,"DAX Value U-Channel Document Frames, Easel Back",East,Consumer,14/01/2020,First Class,Delaware,Furnishings,0.0,3.0814,2,9.94
Furniture,San Francisco,United States,Brian Dahlen,O'Sullivan,13/01/2020,US-2020-157147,94109,"O'Sullivan Elevations Bookcase, Cherry Finish",West,Consumer,18/01/2020,Standard Class,California,Bookcases,0.15,3.9294,3,333.999
Furniture,Mount Pleasant,United States,Natalie DeCherney,Global,13/01/2020,US-2020-109232,29464,Global Highback Leather Tilter in Burgundy,South,Consumer,16/01/2020,Second Class,South Carolina,Chairs,0.0,87.3504,6,545.94
Office Supplies,San Francisco,United States,Brian Dahlen,Other,13/01/2020,US-2020-157147,94109,4009 Highlighters by Sanford,West,Consumer,18/01/2020,Standard Class,California,Art,0.0,6.567,5,19.9
Office Supplies,Newark,United States,Michael Moore,Avery,13/01/2020,US-2020-118192,43055,Avery Metallic Poly Binders,East,Consumer,18/01/2020,Standard Class,Ohio,Binders,0.7,-2.5212,2,3.438
Office Supplies,Bossier City,United States,Chris Selesnick,3-ring staple pack,13/01/2020,US-2020-162775,71111,3-ring staple pack,South,Corporate,15/01/2020,Second Class,Louisiana,Binders,0.0,2.7072,3,5.64
Office Supplies,Bossier City,United States,Chris Selesnick,Other,13/01/2020,US-2020-162775,71111,Brown Kraft Recycled Envelopes,South,Corporate,15/01/2020,Second Class,Louisiana,Envelopes,0.0,25.47,3,50.94
Office Supplies,Bossier City,United States,Chris Selesnick,Staple envelope,13/01/2020,US-2020-162775,71111,Staple envelope,South,Corporate,15/01/2020,Second Class,Louisiana,Envelopes,0.0,5.3392,2,11.36
Office Supplies,Newark,United States,Michael Moore,Xerox,13/01/2020,US-2020-118192,43055,Xerox 1923,East,Consumer,18/01/2020,Standard Class,Ohio,Paper,0.2,13.0928,7,37.408
Office Supplies,Bossier City,United States,Chris Selesnick,Fellowes,13/01/2020,US-2020-162775,71111,Fellowes Stor/Drawer Steel Plus Storage Drawers,South,Corporate,15/01/2020,Second Class,Louisiana,Storage,0.0,34.3548,6,572.58
Office Supplies,San Francisco,United States,Brian Dahlen,Tennsco,13/01/2020,US-2020-157147,94109,Tennsco 6- and 18-Compartment Lockers,West,Consumer,18/01/2020,Standard Class,California,Storage,0.0,238.653,5,1325.85
Technology,Bossier City,United States,Chris Selesnick,Plantronics,13/01/2020,US-2020-162775,71111,Plantronics S12 Corded Telephone Headset System,South,Corporate,15/01/2020,Second Class,Louisiana,Accessories,0.0,258.696,6,646.74
Furniture,Philadelphia,United States,Brendan Sweed,Sauder,14/01/2020,US-2020-149524,19140,Sauder Cornerstone Collection Library,East,Corporate,15/01/2020,First Class,Pennsylvania,Bookcases,0.5,-53.2856,4,61.96
Technology,Roswell,United States,Erica Hackney,Logitech,15/01/2020,US-2020-103366,30076,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,South,Consumer,17/01/2020,First Class,Georgia,Accessories,0.0,65.978,5,149.95
Furniture,Philadelphia,United States,Delfina Latchford,DAX,16/01/2020,US-2020-115791,19134,DAX Black Cherry Wood-Tone Poster Frame,East,Consumer,18/01/2020,Second Class,Pennsylvania,Furnishings,0.2,28.5984,6,127.104
Office Supplies,Philadelphia,United States,Delfina Latchford,GBC,16/01/2020,US-2020-115791,19134,GBC Linen Binding Covers,East,Consumer,18/01/2020,Second Class,Pennsylvania,Binders,0.7,-13.6312,2,18.588
Office Supplies,Philadelphia,United States,Delfina Latchford,Other,16/01/2020,US-2020-115791,19134,Round Specialty Laser Printer Labels,East,Consumer,18/01/2020,Second Class,Pennsylvania,Labels,0.2,10.1493,3,30.072
