Category,City,Country/Region,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State/Province,Sub-Category,Discount,Profit,Quantity,Sales,Profit Margin,Delivery Days
Office Supplies,Houston,United States,Darren Powers,Message Book,2020-01-03,US-2020-103800,77095,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Central,Consumer,2020-01-07,Standard Class,Texas,Paper,0.2,5.5512,2,16.448,0.34,4
Office Supplies,Naperville,United States,Phillina Ober,GBC,2020-01-04,US-2020-112326,60540,GBC Standard Plastic Binding Systems Combs,Central,Home Office,2020-01-08,Standard Class,Illinois,Binders,0.8,-5.487,2,3.54,-1.55,4
Office Supplies,Philadelphia,United States,Mick Brown,Avery,2020-01-05,US-2020-141817,19143,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",East,Consumer,2020-01-12,Standard Class,Pennsylvania,Art,0.2,4.884,3,19.536,0.25,7
Furniture,Henderson,United States,Maria Etezadi,Global,2020-01-06,US-2020-167199,42420,Global Deluxe High-Back Manager's Chair,South,Home Office,2020-01-10,Standard Class,Kentucky,Chairs,No discount,746.4078,9,2573.82,0.29,4
Office Supplies,Athens,United States,Jack O'Briant,Dixon,2020-01-06,US-2020-106054,30605,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",South,Corporate,2020-01-07,First Class,Georgia,Art,No discount,5.2398,3,12.78,0.41,1
Office Supplies,Los Angeles,United States,Lycoris Saunders,Xerox,2020-01-06,US-2020-130813,90049,Xerox 225,West,Consumer,2020-01-08,Second Class,California,Paper,No discount,9.3312,3,19.44,0.48,2
Furniture,Huntsville,United States,Vivek Sundaresam,Howard Miller,2020-01-07,US-2020-105417,77340,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Central,Consumer,2020-01-12,Standard Class,Texas,Furnishings,0.6,-53.7096,3,76.728,-0.7,5
Office Supplies,Laredo,United States,Melanie Seite,Newell,2020-01-09,US-2020-135405,78041,Newell 312,Central,Consumer,2020-01-13,Standard Class,Texas,Art,0.2,1.168,2,9.344,0.12,4
Furniture,Springfield,United States,Anthony Jacobs,Howard Miller,2020-01-10,US-2020-149020,22153,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",South,Corporate,2020-01-15,Standard Class,Virginia,Furnishings,No discount,21.2954,1,51.94,0.41,5
Furniture,Dover,United States,Seth Vernon,DAX,2020-01-11,US-2020-130092,19901,"DAX Value U-Channel Document Frames, Easel Back",East,Consumer,2020-01-14,First Class,Delaware,Furnishings,No discount,3.0814,2,9.94,0.31,3
Furniture,San Francisco,United States,Brian Dahlen,O'Sullivan,2020-01-13,US-2020-157147,94109,"O'Sullivan Elevations Bookcase, Cherry Finish",West,Consumer,2020-01-18,Standard Class,California,Bookcases,0.15,3.9294,3,333.999,0.01,5
Furniture,Mount Pleasant,United States,Natalie DeCherney,Global,2020-01-13,US-2020-109232,29464,Global Highback Leather Tilter in Burgundy,South,Consumer,2020-01-16,Second Class,South Carolina,Chairs,No discount,87.3504,6,545.94,0.16,3
Office Supplies,Newark,United States,Michael Moore,Avery,2020-01-13,US-2020-118192,43055,Avery Metallic Poly Binders,East,Consumer,2020-01-18,Standard Class,Ohio,Binders,0.7,-2.5212,2,3.438,-0.73,5
Office Supplies,Bossier City,United States,Chris Selesnick,3-ring staple pack,2020-01-13,US-2020-162775,71111,3-ring staple pack,South,Corporate,2020-01-15,Second Class,Louisiana,Binders,No discount,2.7072,3,5.64,0.48,2
Furniture,Philadelphia,United States,Brendan Sweed,Sauder,2020-01-14,US-2020-149524,19140,Sauder Cornerstone Collection Library,East,Corporate,2020-01-15,First Class,Pennsylvania,Bookcases,0.5,-53.2856,4,61.96,-0.86,1
Technology,Roswell,United States,Erica Hackney,Logitech,2020-01-15,US-2020-103366,30076,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,South,Consumer,2020-01-17,First Class,Georgia,Accessories,No discount,65.978,5,149.95,0.44,2
Furniture,Philadelphia,United States,Delfina Latchford,DAX,2020-01-16,US-2020-115791,19134,DAX Black Cherry Wood-Tone Poster Frame,East,Consumer,2020-01-18,Second Class,Pennsylvania,Furnishings,0.2,28.5984,6,127.104,0.22,2
Office Supplies,Springfield,United States,David Wiener,Fellowes,2020-01-18,US-2020-123477,97477,Fellowes Mighty 8 Compact Surge Protector,West,Corporate,2020-01-21,Second Class,Oregon,Appliances,0.2,6.4864,4,64.864,0.1,3
Furniture,Scottsdale,United States,Toby Swindell,O'Sullivan,2020-01-19,US-2020-146591,85254,O'Sullivan 4-Shelf Bookcase in Odessa Pine,West,Consumer,2020-01-20,First Class,Arizona,Bookcases,0.7,-320.597,5,181.47,-1.77,1
Furniture,Jonesboro,United States,Hunter Lopez,Hon,2020-01-20,US-2020-147627,72401,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,South,Consumer,2020-01-26,Standard Class,Arkansas,Chairs,No discount,224.2674,3,1067.94,0.21,6
Furniture,Westland,United States,Xylona Preis,Ultra,2020-01-20,US-2020-167927,48185,Ultra Door Push Plate,Central,Consumer,2020-01-26,Standard Class,Michigan,Furnishings,No discount,4.8609,3,14.73,0.33,6
Furniture,Los Angeles,United States,Mark Van Huff,Eldon,2020-01-20,US-2020-148614,90049,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",West,Consumer,2020-01-25,Standard Class,California,Furnishings,No discount,5.79,2,19.3,0.3,5
Office Supplies,Smyrna,United States,Muhammed MacIntyre,GBC,2020-01-20,US-2020-147774,37167,GBC DocuBind TL200 Manual Binding Machine,South,Corporate,2020-01-26,Standard Class,Tennessee,Binders,0.7,-51.5154,1,67.194,-0.77,6
Furniture,Miami,United States,Tom Boeckenhauer,Ultra,2020-01-21,US-2020-110422,33180,Ultra Door Pull Handle,South,Consumer,2020-01-23,Second Class,Florida,Furnishings,0.2,4.1028,3,25.248,0.16,2
Furniture,Toronto,Canada,Jane Waco,Eldon,2020-01-21,CA-2020-115238,M7A,"Eldon Imàge Series Desk Accessories, Clear",East,Corporate,2020-01-24,Standard Class,Ontario,Furnishings,No discount,10.45,5,24.3,0.43,3
Office Supplies,Lafayette,United States,Speros Goranitis,Alliance,2020-01-23,US-2020-146997,47905,"Alliance Big Bands Rubber Bands, 12/Pack",Central,Consumer,2020-01-27,Standard Class,Indiana,Fasteners,No discount,0.0,3,5.94,0.0,4
Office Supplies,Las Vegas,United States,Ionia McGrath,Xerox,2020-01-23,US-2020-102645,89115,Xerox 195,West,Consumer,2020-01-28,Standard Class,Nevada,Paper,No discount,19.2384,6,40.08,0.48,5
Furniture,Rapid City,United States,Carol Adams,SAFCO,2020-01-26,US-2020-167997,57701,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Central,Corporate,2020-01-29,First Class,South Dakota,Bookcases,No discount,39.7488,2,141.96,0.28,3
Furniture,Alexandria,United States,Shirley Daniels,Eldon,2020-01-26,US-2020-155502,22304,Eldon Image Series Black Desk Accessories,South,Home Office,2020-01-31,Standard Class,Virginia,Furnishings,No discount,4.4712,3,12.42,0.36,5
Furniture,San Diego,United States,Ed Jacobs,Balt,2020-01-27,US-2020-117163,92037,Balt Split Level Computer Training Table,West,Consumer,2020-02-02,Standard Class,California,Tables,0.2,-16.65,3,333.0,-0.05,6
Office Supplies,New York City,United States,Jasper Cacioppo,Pressboard,2020-01-28,US-2020-100328,10024,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",East,Consumer,2020-02-03,Standard Class,New York,Binders,0.2,1.3257,1,3.928,0.34,6
Office Supplies,Detroit,United States,Mike Vittorini,Xerox,2020-01-30,US-2020-134103,48234,Xerox 1972,Central,Consumer,2020-02-04,Standard Class,Michigan,Paper,No discount,4.752,2,10.56,0.45,5
